framework,network,avg,stdev,median
brownie,anvil,34.79519415616989,1.3125633203360472,35.28967249393463
brownie,ganache,51.48097878217697,1.4144297711708478,51.68266999721527
brownie,hardhat,51.617272298336026,2.4252913632839226,50.562286138534546
ape,anvil,53.268353413343426,1.2192463748146465,53.56756043434143
ape,ganache,72.7153597342968,2.094156845395744,71.82950854301453
ape,hardhat,72.41888814926148,1.802736426568889,72.9153642654419
woke,anvil,3.366231129169464,0.050131569582842324,3.3605024814605713
woke,ganache,15.775287184715271,0.22180082620093375,15.76319146156311
woke,hardhat,19.68911029577255,0.15097178304119657,19.672975659370422
hardhat,anvil,10.962776530981063,0.4041721695902808,10.7938711643219
hardhat,ganache,118.7119661617279,1.6926303105470264,118.53934037685394
hardhat,hardhat,17.47344365477562,0.16739909980874132,17.452874302864075
